user,tweet
AccionNacional,RT @MarkoCortes: Nuevamente Morena viola la ley. @Dr_AVillarreal cobardemente prefirió huir de Tamaulipas en lugar de dar la cara en el deb…
AccionNacional,"Sigue el uso de recursos públicos para favorecer a los candidatos de Morena. Hoy usan al @senadomexicano y la JUCOPO para respaldar a su candidato, pero ayer @Dr_AVillarreal dio la espalda a los tamaulipecos al no acudir al debate.

Están desesperados porque van a perder. https://t.co/f1ciEIhC4s"
AccionNacional,"La Secretaría de Asuntos Indígenas y Afromexicanos realizó en Chiapas el curso “Introducción a la diversidad cultural de México”, con el fin de promover con nuestras acciones la inclusión y participación política de las comunidades indígenas en los espacios de toma de decisiones. https://t.co/ga7LL2nzda"
AccionNacional,"Exigimos que los delincuentes de Morena saquen las manos de Durango y de los demás estados con elecciones.

Cada día se confirma más que el gobierno tiene un pacto con los criminales. https://t.co/vEPdUFqLAo"
AccionNacional,"La única opción para cuidar lo logrado y seguir avanzando en Tamaulipas es @TrucoVerastegui.

¡Hoy ganó el debate y en 2 semanas ganaremos la elección!

#TrukoGobernador2022
#DefendamosTamaulipas https://t.co/JC1yoH2Wet"
AccionNacional,"Las mujeres y los jóvenes son la fuerza y el motor de Durango, que llevará a @josejoseantonio y @EVillegasV a la victoria, y trabajarán en conjunto con sus gobiernos para crear programas que los impulsen y generen más oportunidades para ellos. https://t.co/WGsGeZv7k8"
AccionNacional,"RT @MarkoCortes: ¡México no puede seguir así!

Asesinaron a Cecilia Monzón, activista que siempre levantó la voz para defender a las mujere…"
AccionNacional,"Los grandes liderazgos de Acción Nacional son siempre guía e impulso para quienes trabajan intensamente en las campañas.

¡Gracias gobernadora @MaruCampos_G por acompañarnos en Durango para sumar energías y esfuerzos rumbo a la victoria!

El 5 de junio, ¡vamos a ganar! https://t.co/1qEX1BqaKu"
AccionNacional,"Morena está usando electoralmente los programas sociales para coacción el voto de la gente más vulnerable. Exigimos al @INEMexico y a las autoridades competentes sancionar estos hechos y garantizar el voto libre de la ciudadanía.
https://t.co/kWYxHDzkk8"
AccionNacional,"Nuestro ejército electoral en Durango está listo y más fuerte que nunca para llevar a la victoria a @EVillegasV y @josejoseantonio.

Juntos, defenderemos este gran estado y a sus familias. https://t.co/gI8opvuvMW"
AccionNacional,"Con propuestas reales y soluciones para #MejorarEnSerio la vida de las y los quintanarroenses, nuestra candidata @LauFdzOficial ganó el debate.

De la misma manera que ganaremos la elección el 5 de junio porque este proyecto ya nadie lo para.

¡Vamos con todo!
#LauraGanóElDebate https://t.co/8O1aX1O9KD"
